NAME	CHR	BEG	END	CLASS	F:M SLOPE	F10	F11	F12	U13	F14A	U14A	F14B	F14B_r2	F14C	F14C_r2	F14D	U14D	M10	M11	M12	M13	M14A	M14A_r2	M14B	M14B_r2	M14C	M14C_r2	M14D	M14D_r2	w1_F10	w1_F11	w1_F12	w1_U13	w1_F14A	w1_U14A	w1_F14B	w1_F14B_r2	w1_F14C	w1_F14C_r2	w1_F14D	w1_U14D	w1_M10	w1_M11	w1_M12	w1_M13	w1_M14A	w1_M14A_r2	w1_M14B	w1_M14B_r2	w1_M14C	w1_M14C_r2	w1_M14D	w1_M14D_r2	cas_F10	cas_F11	cas_F12	cas_U13	cas_F14A	cas_U14A	cas_F14B	cas_F14B_r2	cas_F14C	cas_F14C_r2	cas_F14D	cas_U14D	cas_M10	cas_M11	cas_M12	cas_M13	cas_M14A	cas_M14A_r2	cas_M14B	cas_M14B_r2	cas_M14C	cas_M14C_r2	cas_M14D	cas_M14D_r2
Side	2L	19027711	19030787	matzyg	0.511436414	0	0	0.03	0.02	0.16	0.05	0.27	0.17	0.35	0.56	0.33	0.28	0	0	0	0.11	0.02	0.17	0.15	0.08	0.32	0.21	0.46	0.27																																																
side	3R	23207994	23244247	zyg	0.88739255	0	0	0	0	0	0	0	0.02	0.04	0	0.19	1.02	0	0.12	0.02	0	0	0	0.1	0	0.02	0.04	0.29	0.18																																																
sif	3L	5660919	5735557	zyg	0.6	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.04	0	0	0	0	0	0	0	0	0.01	0.01	0.02	0.02																																																
SIFR	3R	17102385	17119720	zyg	1.175408426	0	0	0	0	0.04	0.03	0.11	0.1	0.35	0.36	0.46	1.03	0	0	0.02	0	0.04	0.01	0.09	0.08	0.17	0.34	0.44	0.38																																																
sim	3R	8898123	8903950	zyg	1.208883502	0	0.02	0.12	0.08	0.02	0.04	0.11	0.1	2.22	0.11	7.48	7.75	0	0.03	0.02	0.19	0	0.04	0.05	0.08	4.01	0.02	2.18	4.98	0	0	0	0	0	0	0	0	0	0	4.78	4.06	0	0	0	0	0	0	0	0	2.14	0	0.99	2.93	0	0	0	0	0	0	0	0	0	0	2.7	3.69	0	0	0	0	0	0	0	0	1.87	0	1.19	2.05
sima	3R	25884036	25947101	mat	0.941010999	87.27	70.48	72.73	32.11	36.36	26.73	23.69	72.71	43.06	66.42	39.97	68.98	95.34	83.88	54.37	55.65	33.2	44.18	21.83	47.76	34.74	50.86	32.83	28.67	87.27	70.48	72.52	31.95	36.36	26.16	23.69	72.47	41.86	66.2	39.07	67.22	95.09	83.88	54.37	55.65	33.2	44.18	21.66	47.56	33.72	50.86	32.67	27.88	0	0	0.21	0.16	0	0.57	0	0.24	1.2	0.22	0.9	1.76	0.25	0	0	0	0	0	0.17	0.2	1.02	0	0.16	0.79
simj	3L	10657842	10682480	mat	0.924685844	66.42	83.93	76.58	63.64	34	16.85	20.14	16.19	26.55	26.67	25.76	40.6	65.78	105.21	70.68	65.62	41.25	34.55	10.41	24.91	20.83	22.78	29.36	16.79	66.42	83.93	0	63.64	0	0	0	0	0	0	21.08	0	0	105.21	70.68	65.62	41.25	34.55	0	0	0	0	13.35	0	0	0	0	0	0	0	0	0	0	0	4.68	0	0	0	0	0	0	0	0	0	0	0	16.01	0
Sin	3L	21024896	21026661	matzyg	0.818487093	9.01	5.43	2.05	1.02	3.74	1.7	4.18	4.04	27.7	16.1	34.15	32.92	6.63	5.78	2.48	1.52	2.47	2.22	5.56	3.02	34.24	18.44	42.26	38.33																																																
Sin1	2R	10299315	10301356	mat	1.095907525	49.86	40.22	41.08	15.43	1.82	1.06	1.73	1.42	5.97	5.51	6.14	5.82	49.36	35.58	28.92	18.5	2.99	2.62	1.7	2.24	7.05	6.53	5.53	3.99	49.86	40.22	41.08	15.02	0	0	0	0	1.59	0	0	0	49.36	35.58	28.92	18.5	0	0	0	0	0	4.2	0	0	0	0	0	0.41	0	0	0	0	4.38	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0
Sin3A	2R	8462742	8480397	mat	0.860834204	128.72	106.12	155.47	83.78	64.05	39.8	35.35	91.01	61.93	99.65	64.24	90.75	154.3	134.45	140.93	142.03	65.37	79.67	27.85	78.05	59.85	80.52	46.13	47.48																																																
sina	3L	16845844	16852050	mat	0.873339009	63.81	77.24	64.77	61.21	53.05	39.05	47.59	30.38	21.92	24.44	20.58	21.75	63.74	105.1	71.78	70.45	58.35	50.39	26.91	40.61	20.65	25.4	21.87	15.28	0	0	0	0	0	0	0	0	16.86	0	13.1	10.88	0	0	0	0	0	0	0	0	15.88	0	11.58	10.5	0	0	0	0	0	0	0	0	5.06	0	7.48	10.88	0	0	0	0	0	0	0	0	4.77	0	10.29	4.77
sinah	3L	16852179	16853629		0.8	0	0	0.08	0	0.08	0	0.18	0.25	0	0	0	0	0	0	0.1	0	0	0.04	0	0.08	0	0	0	0																																																
sing	X	16573347	16574095	zyg	1.268360855	0	0	0	0	0.66	0.1	0	0	2.3	0.23	1.08	0.7	0.13	0	0.47	0.8	0.28	0.41	0	0.11	1.02	0.98	0.85	0.37																																																
sinu	3L	5552569	5554697	mat	0.972023983	9.42	6.47	11.17	8.58	11.83	9.19	4.69	10.24	8.42	13.81	15.33	14.38	9.05	5.43	7.7	13.19	9.82	9.48	5.34	12.25	13.34	15.01	9.94	11.22																																																
Sip1	2R	13282100	13292678	mat	0.936538445	40.95	31.44	50.54	52.23	53.28	47.94	41.24	62.67	34.07	33.93	29.99	27.35	47.37	30.05	50.75	54.72	47.69	52.3	39.98	46.74	19.97	43.37	21.92	20.56																																																
sip1	2L	5721038	5723791	mat	1.027187094	16.96	16.97	18.09	18.78	21.01	19.4	21.63	27.55	17.48	18.29	14.9	19.47	16.29	26.27	21.97	18.3	18.59	23.26	18.63	21.6	15.07	19.31	15.79	9.76	16.96	16.97	18.09	18.78	21.01	19.4	0	0	17.48	0	9.11	0	0	0	0	18.3	0	0	0	21.6	0	0	11.84	0	0	0	0	0	0	0	0	0	0	0	5.79	0	0	0	0	0	0	0	0	0	0	0	3.95	0
SIP2	2R	8190041	8193774		0.5	0	0	0	0	0	0	0	0.06	0.02	0	0.11	0.06	0	0	0	0	0.02	0	0	0	0.02	0	0	0																																																
sip2	2L	6961515	6964073	mat	0.979826222	64.34	69.94	95.5	93.45	83.85	74.25	47.03	91.89	121.73	134.14	144.41	164.66	94.24	56.03	83.89	100.92	78.24	73.95	57.57	95.06	140.76	115.14	116.98	117.76	0	0	0	0	0	0	0	86.15	91.3	92.22	86.65	64.03	0	0	0	0	0	0	0	0	78.2	53.14	55.41	91.17	0	0	0	0	0	0	0	5.74	30.43	41.92	57.76	100.63	0	0	0	0	0	0	0	0	62.56	62	61.57	26.59
SIP3	X	4853958	4855033		0	0	0	0.16	0	0.05	0	0	0	0	0	0.13	0.06	0	0.16	0	0	0	0.1	0.09	0.05	0.05	0.19	0	0.09																																																
sip3	3R	27597937	27600505	mat	0.969997273	43.26	49.41	54.64	54.57	56.61	40.18	47.49	44.56	11.72	21.79	11.99	14.14	50.38	52.77	52.63	61.93	57.78	52.85	34.13	57.69	11.66	19.69	12.37	7.54																																																
Sir2	2L	13165550	13169551	mat	0.934596482	87.97	83.38	111.16	73.39	23.95	11.67	11.61	18.71	34.82	41.55	48.16	48.9	101.09	84.32	96.09	100.36	35.05	25.93	10.34	22.62	36.64	39.77	35.29	29.08																																																
Sirt2	3R	16154191	16155751	zyg	0.895272538	1.19	0.6	0.46	0.1	0.17	0	0.54	0.7	2.04	1.95	4.65	4.64	1.26	0.43	0	0.17	0.28	0.16	0.07	0.42	3.74	3.24	3.81	3.91																																																
Sirt4	X	5558660	5560002	matzyg	1.291865315	5.76	2.83	0.71	0.57	0.46	0.23	1.03	0.64	4.63	2.82	4.84	2.57	1.42	2.95	0.35	0.37	0.04	0	1.08	0.36	3.28	2.55	4.4	3.35																																																
Sirt6	3R	6086508	6087462	matzyg	0.88752793	12.1	2.89	2.91	1.27	1.22	1.68	1.29	4	15.97	13.87	17.36	18.01	10.53	2.71	1.52	0.38	1.33	1.03	3.14	3.28	21.69	11.97	16.67	21.55																																																
Sirt7	3R	24881653	24884926	mat	0.968120296	24.37	28.1	33.61	30.86	37.64	27.5	20.29	39.31	16.67	26.38	17.12	16.36	32.56	25.45	32.79	37.87	32.84	33.63	19.87	40.8	13.86	21.62	14.44	9.22																																																
sisA	X	11215611	11216379	zyg	1.593216915	6.48	49.12	69.44	42.51	87.32	76.64	171.37	171.82	148.08	118.47	137.96	99.21	7.04	30.32	37.12	32.66	65.15	59.42	78.68	78.46	93.15	80.68	102.4	90.34																																																
Six4	3L	20781985	20785868	zyg	1.660214229	0	0	0.04	0.29	0.24	0.18	0.45	0.46	1.77	0.91	2.8	2.33	0	0	0.04	0.21	0.38	0.08	0.8	0.32	1.18	1.64	1.08	3.41																																																
siz	3L	21041325	21068544	matzyg	1.15408511	25.22	23.41	21.61	13.94	41.27	24.02	46.89	103.51	43.29	100.5	35.58	42.11	26.55	28.42	17.67	17.32	24.15	38.05	37.06	56.81	31.66	55.91	35.6	22.46	0	23.41	0	0	0	0	0	55.21	0	0	16.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.3	0	0	19.41	0	0	0	0	0	0	0	0	0	0	0	0	0
SK	X	5234270	5295156	matzyg	2.411290323	0.16	0.29	0.2	0.13	0.11	0	0.03	0.02	0.16	0.08	0.2	0.25	0	0.07	0.13	0	0.04	0.03	0.01	0.08	0.03	0.09	0.02	0.1																																																
Sk1	X	11337571	11340043		0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02																																																
Sk2	3L	3046955	3050161	mat	0.822616053	42.35	56.3	49.31	47.41	38.1	33.69	38.15	28.39	5.96	9.59	3.61	7.91	40.94	85.7	54.18	51.44	48.32	43.07	25.24	37.03	6.59	13.61	7.58	5.67																																																
skap	3R	4764404	4768749	mat	0.9125045	138.51	145.39	152.02	131.9	94.88	91.06	84.71	100.9	52.87	52.9	41.95	42.1	161.72	141.62	173.98	157.02	109.93	112.33	66.29	108.66	32.9	59.55	33.79	32.78																																																
skd	3L	20987227	21020524	mat	0.830151362	67.48	46.14	78.66	30.8	9.12	3.02	2.32	5.47	12.09	21.36	16.16	25.18	73.58	67.45	62.38	66.01	10.87	9.65	1.43	7.75	12.1	14.57	12.06	12.44	0	0	0	30.8	0	0	0	0	0	0	0	0	0	0	0	66.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skeletor	3R	6512664	6522190		0.403466826	0	0.14	0.15	0	0.02	0	0	0	0	0.11	0	0.87	0	0.3	0.17	0	0	0	0	0	0.22	0.09	0	0																																																
skf	2R	7113961	7120056	matzyg	0.891985033	0.39	0.3	0.71	0.37	0.13	0.02	0.14	0.18	0.7	0.34	1.57	1.42	0.61	0.8	0.72	0.39	0.37	0.1	0.12	0.37	1.02	0.25	1.09	1.17																																																
Ski6	2L	13221393	13222315	mat	0.925837103	19.85	21.3	19.24	22.36	21.01	26.79	27.13	24.38	36.91	24.8	38.11	35.81	24.69	19.92	25	17.83	24.11	21.58	23.6	16.42	45.72	28.09	36.23	44.49																																																
SKIP	3R	17959579	18121057	mat	0.861150625	54.33	49.64	57.24	40.54	51.94	37.45	37.53	90.45	0.82	5.5	0.42	0.99	53.42	68.04	56.06	65.76	53.19	67.02	26.04	70.61	0.43	5.77	0.63	0.67	54.33	49.64	57.24	40.54	51.94	37.22	37.53	90.18	0	5.5	0	0	53.42	67.73	56.06	65.76	53.19	67.02	26.04	70.61	0	5.77	0	0	0	0	0	0	0	0.23	0	0.27	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0
skl	3L	18431655	18433037	zyg	0.802460885	0	0	0.17	1.95	3.9	3.07	1.78	2.1	0.92	1.34	1.63	1.69	0	0	0	0.26	3.78	2.92	2.96	4.66	2.52	2.74	0.87	2.38																																																
skpA	X	550104	551937	mat	0.996669849	402.79	324.28	434.98	468.89	458.49	549.75	406.18	546.59	563.74	537.74	602.97	549.11	392.81	261.78	451.29	461.07	469.72	516.83	473.07	551.97	615.73	540.79	511.8	678.21																																																
skpB	2R	8026799	8027567	matzyg	1.090164552	0.49	1.86	0.81	1.18	1.06	1.97	0.45	0.85	1.72	2.61	1.56	1.95	0.1	0.49	0.78	0.86	1.17	1.23	1	1.92	1.84	1.61	0.78	0.9																																																
skpC	X	19710170	19710647		1.09161459	10.49	2.76	3.03	0.68	0.43	0.32	0.22	0.57	5.75	0.19	0.65	2.58	1.03	1.63	3.94	1.53	0.31	0.11	2.44	0.24	0.4	2.72	1.26	0																																																
skpD	X	19706761	19707421		1.207331731	0.48	1.09	0.39	0.07	0.83	0.08	0.2	0.41	0.81	0.75	0.4	0.37	0	0	0.19	0	0.26	0.08	0.61	0.18	0.37	0.55	0.23	0																																																
skpE	X	19717528	19718032		0.422815369	0	0	0	0.74	0.12	0	0.21	0	0.3	0.25	0.19	0	0.28	0	0	0	0	0	0.57	0	0.43	0.1	0	0.78																																																
sktl	2R	16714915	16719919	matzyg	0.969268284	71.74	44.55	34.54	6.01	2.91	1.99	5.95	11.38	37.54	42.93	46.56	53.28	75.43	51.88	28.32	11.02	3.01	3.24	7.01	5.28	39.77	36.1	40.44	30.51	71.74	44.55	34.54	3.82	0	0	0	0	37.54	26.83	24.18	19.1	75.43	51.88	28.32	0	0	0	0	0	18.08	18.05	40.44	30.51	0	0	0	2.19	0	0	0	0	0	16.1	22.38	34.18	0	0	0	0	0	0	0	0	21.69	18.05	0	0
sl	X	16244341	16250520	mat	0.911832046	20.81	17.79	31.2	16.93	27.32	15.23	10.04	47.04	16.9	35.08	19.92	23.25	32.06	20.95	25.65	28.53	23.12	24.96	6.95	33.62	9.65	27.66	10.14	7.72	20.81	17.69	31.2	16.93	27.14	15.23	10.04	46.41	15.22	32.42	16.82	23.25	32.06	20.95	25.58	28.53	23.12	24.68	6.89	33.62	9.65	27.59	10.14	7.72	0	0.1	0	0	0.18	0	0	0.63	1.68	2.66	3.1	0	0	0	0.07	0	0	0.28	0.06	0	0	0.07	0	0
slam	2L	6372414	6377287	matzyg	0.851805419	66.12	94.52	156.13	326.58	716.35	931.58	1289.62	1782.53	388.2	1774.6	42.68	42.41	64.21	116.33	160.22	333.52	714.26	940.21	1599.72	1288.63	66.51	1610.92	46.05	9.63																																																
slbo	2R	20219044	20221829		0.501362398	0.03	0.05	0.16	0.12	0.01	0.01	0.01	0.14	0.15	0.17	0.08	0.04	0.1	0.15	0.01	0.02	0.04	0.04	0.04	0.07	0.01	0.01	0.02	0.05																																																
Slbp	3R	24977792	24978969	matzyg	0.815256649	153.47	128.93	58.4	26.46	18.76	25.28	63.61	41.59	199.93	147.05	217.75	192.41	104.31	134.07	56.57	24.06	17.99	18.32	72.32	31.49	272.17	134.72	288.61	258.25																																																
Sld5	3R	21881388	21882213	mat	1.086700005	43.02	39.47	38.74	47.49	35.61	33.26	29.79	25.11	18.97	14.95	15.62	12.02	32.4	33.91	42.45	34.45	38.49	35.4	31.72	36.58	16.83	17.84	14.26	13.32																																																
sle	3R	6158892	6163995	mat	0.97030524	129.58	45.01	62.93	5.26	1.04	0.53	0.44	1.75	5.61	5.29	11.27	17.7	140.02	44.82	38.61	15.64	1.29	1.18	0.31	0.96	9.86	5.19	9.05	9.69	129.58	45.01	62.79	5.26	0	0	0	1.59	3.95	3.58	7.1	9.37	140.02	44.57	38.61	15.64	0	0	0	0	7	3.67	5.43	5.2	0	0	0.14	0	0	0	0	0.16	1.66	1.71	4.17	8.33	0	0.25	0	0	0	0	0	0	2.86	1.52	3.62	4.49
slgA	X	21245367	21256188	mat	0.920104572	71.87	54.5	60.49	25.72	8.29	4.9	3.63	5.12	2.19	1.96	3.08	2.43	76.27	62.38	51.68	43.33	10.2	9.71	1.69	6.78	1.67	2.21	2.1	1.56	71.66	54.5	60.49	25.72	8.29	4.9	3.63	5.12	0	1.81	2.68	0	76.01	62.38	51.68	43.13	10.2	9.71	1.69	6.78	0	0	2.1	0	0.21	0	0	0	0	0	0	0	0	0.15	0.4	0	0.26	0	0	0.2	0	0	0	0	0	0	0	0
Slh	2L	2490204	2492666	matzyg	0.995705233	17.83	12.56	10.32	2.59	1.48	0.89	1.92	2.48	12.66	13.22	16.51	16.22	15.63	13.87	6.72	3.73	1.98	1.71	2.95	2.19	16.07	10.91	15.31	10																																																
sli	2R	11760175	11801470	zyg	1.451003364	1.2	0.9	1.5	0.96	8.48	3.76	5.21	33.15	49.23	100.36	52.34	122.2	1.31	1.49	1.08	2.53	4.62	9.37	5.96	11.46	33.4	60.92	36.14	39.24	0	0	0	0	0	0	0	22.79	36.27	67.85	18.32	85.94	0	0	0	0	0	7.67	0	0	27.14	41.16	25.02	25.73	0	0	0	0	0	0	0	10.36	12.96	32.51	34.02	36.26	0	0	0	0	0	1.7	0	0	6.26	19.76	11.12	13.51
slif	3L	22874145	22886929	mat	1.069584824	108.56	48.67	43.1	6.03	1.96	1.64	1.07	0.9	0.54	1.15	0.96	0.72	90.62	65.33	25.14	11.57	2.22	1.76	0.69	1.31	1.56	1.02	1.31	0.77																																																
slik	2R	20279651	20290245	mat	0.897941482	86.37	83.1	116.14	78.27	101.31	61.71	52.08	123.82	26.3	59.33	29.77	42.89	106.07	98.13	107.53	122.05	82.75	94.51	40.92	106.56	25.67	49.94	23.4	19.97	85.94	83.1	116.14	78.27	101.31	61.71	52.08	121.41	15.78	56.07	17.86	21.83	105.68	98.13	107.53	121.33	81.32	94.17	38.41	105.88	17.47	36.38	11.04	10.21	0.43	0	0	0	0	0	0	2.41	10.52	3.26	11.91	21.06	0.39	0	0	0.72	1.43	0.34	2.51	0.68	8.2	13.56	12.36	9.76
slim	2R	14328461	14333037	matzyg	1.123911137	32.66	18.91	18.61	4.1	2.59	3.11	4.94	9.34	30.67	32.73	44.98	44.86	25.38	19.09	7.43	3.68	3.36	2.7	7.19	5.67	34.7	27.43	35.42	25.9	32.66	18.91	18.61	4.1	0	0	0	5.45	17.76	17.53	19.47	23.61	25.38	0	7.43	0	0	0	0	0	23.13	17.14	17.71	13.4	0	0	0	0	0	0	0	3.89	12.91	15.2	25.51	21.25	0	0	0	0	0	0	0	0	11.57	10.29	17.71	12.5
Slip1	4	684213	690510	mat	1.000215409	44.73	17.37	70.59	51.29	61.21	42.61	17.19	66.64	35.95	64.93	59.58	53.39	56.92	9.65	42.34	72.76	47.3	46.41	21.01	53.66	45.87	64.95	34.39	39.95																																																
sll	3R	13431823	13434263	mat	1.006152923	46.18	28.15	41.91	28.15	7.9	7.16	6.2	3.74	3.29	2.86	3.86	4.83	44.71	28.15	40.62	29.57	11.56	9.01	3.34	6.35	4.15	2.79	5.04	4.21	46.18	28.15	41.91	28.15	7.9	7.16	5.65	0	1.92	0	1.93	2.68	44.71	28.15	40.62	29.57	10.81	8.63	3.34	5.33	2.54	2.23	3.36	2.66	0	0	0	0	0	0	0.55	0	1.37	0	1.93	2.15	0	0	0	0	0.75	0.38	0	1.02	1.61	0.56	1.68	1.55
slmb	3R	16944972	16953202	mat	0.94192967	102.07	76.94	90.58	39.21	18.64	11.85	8.95	17.86	28.57	28.76	40.55	43.58	114.67	83.15	77.15	58.71	16.35	17.6	7.94	17.11	31.3	25.61	32.5	26.52	102.07	76.61	90.58	39.21	18.64	11.85	8.05	17.22	18.77	19.81	24.27	25.68	114.67	83.15	77.15	58.33	16.04	17.6	7.58	16.14	18.78	15.44	19.22	24.94	0	0.33	0	0	0	0	0.89	0.64	9.8	8.95	16.28	17.9	0	0	0	0.38	0.31	0	0.36	0.97	12.52	10.17	13.28	1.58
slmo	2L	6046645	6048505	mat	0.863341022	136.17	160.47	141.72	136.87	92.81	67.38	91.37	62.01	59.64	65.76	58.7	63.32	128.91	231.03	140.37	129.07	128	97.56	79.57	78.27	59.94	71.75	73.9	59.79																																																
Sln	2R	7732830	7739829	zyg	1.442328842	0.08	0.43	0.16	0.18	0.34	0.25	0.12	0.51	1.15	0.52	1.29	2.01	0.29	0.2	0.13	0.37	0.16	0.26	0.1	0.22	0.62	0.34	0.87	1.39																																																
slo	3R	20490085	20533784	zyg	1	0	0	0	0	0	0	0	0	0.08	0	0.08	0.05	0	0	0	0	0	0.01	0	0	0	0.06	0.08	0.06																																																
Slob	2L	7647052	7659567		0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
slou	3R	17374374	17383004		0.013660354	0	0	0	0	0.13	0.04	0.02	0.02	0.04	0.04	0	0	0	0	0	0	0.02	0.08	0.09	0.04	0	0.09	0.56	0																																																
slow	3L	4384454	4403186	zyg	1.22666025	0.03	0	0.03	0	0.11	0.07	0.1	0	0.58	0.21	0.25	0.88	0	0	0	0	0.12	0.34	0.27	0.08	0.34	0.2	0.07	0.02																																																
slp1	2L	3825679	3827137	zyg	0.726445929	0.26	7.88	15.69	32.15	18.18	30.34	27.28	63.54	54.62	61.47	97.46	79.93	0.72	10.47	20.96	26.27	35.15	24.05	71	58.83	94.48	57.16	87.96	117.04																																																
slp2	2L	3836841	3839201	zyg	1.100214725	0	0	0.24	0.96	0.47	0.44	0.16	2.11	6	9.4	5.96	5.53	0	0	0.34	0.49	0.29	0.3	2.07	0.84	5.06	8.03	5.06	4.7																																																
slpr	X	8064693	8071187	mat	0.904223784	58.7	60.92	77.3	28.42	13.12	6.6	6.04	11.96	5.8	10.37	6.25	7.73	67.85	70.07	64.12	51.31	13.49	11.96	5.78	11.22	3.95	8.05	5.11	3.18	58.7	60.92	77.3	28.42	13.12	0	0	11.96	0	6.91	0	0	67.85	70.07	64.12	51.31	13.49	11.96	0	11.22	0	8.05	5.11	0	0	0	0	0	0	0	0	0	0	3.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sls	3L	2090494	2115617	zyg	0.283783784	0.01	0	0	0	0.02	0.01	0	0.03	0.06	0.03	0.01	0.18	0	0	0	0.04	0.01	0	0.02	0	0.02	0.01	0.07	0.03																																																
Slu7	3R	24862779	24864788	mat	0.996792847	45.54	43.09	48.09	54.72	52.21	50.16	45.6	63.01	66.14	60.21	68.14	64.82	56.69	41.56	53.37	55.8	55.73	51.48	45.46	58.53	60.04	64.55	56.43	53.13																																																
slv	2R	3968063	3969875	mat	0.992042322	18.24	16.02	16.99	20.06	10.61	8.37	6.85	5.03	4.71	3.98	4.8	7.4	21.63	12.37	16.84	18.74	9.88	7.78	4.48	10.65	7.97	4.64	5.29	8.9																																																
sm	2R	15417413	15519007	mat	1.110612184	0.73	1.74	1.3	0.88	1.12	0.96	0.69	0.93	0.6	1.6	1.81	1.73	0.58	0.83	1.23	1.31	1.36	1.4	0.35	1.81	0.55	1.54	0.39	0.82																																																
SmB	2L	10425482	10426791	mat	0.967605876	89.41	118.22	83.79	120.17	170.93	218.29	260.51	138.64	223.36	134.67	185.39	165.51	83.31	173.27	114.52	107.59	172.51	182.88	237.68	142.26	164.5	176.84	232.9	192.13																																																
SMC1	3R	19884023	19888538	matzyg	0.928634889	11.73	4.26	2.6	0.37	1.66	1.56	1.18	4.21	9.6	10.21	16.37	18.01	13.33	4.06	2.04	0.75	1.41	1.91	1.86	2.34	14.09	9.93	13.1	10.18	0	0	0	0	0	0	0	0	0	0	0	3.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.74	0	0	0	0	0	0	0	0	0	0	0	0
SMC2	2R	10736093	10740155	mat	1.002975514	76.66	53.03	100.28	88.48	91.12	68.69	47.38	120.88	78.31	110.79	88.19	102.12	92.43	46.89	96.48	103.38	75.9	86.39	52.9	104.37	76.68	105.16	65.12	58.26																																																
Smc5	3L	21562308	21566623	mat	0.862358597	41.45	19.37	51.82	30.33	9.37	5.23	2.43	6	4.32	4.88	9.82	8.97	58.63	13.67	39.74	42.69	10.32	7.96	1.8	8.75	8.39	4.4	5.4	7.46																																																
SmD1	3L	12726458	12727708	mat	0.967220464	116.54	120.98	106.08	122.22	115.38	157.92	155.61	133.03	118.26	108.74	116.24	97.58	105.34	118.33	109.19	128.03	151.99	138.88	138.62	137.25	121.27	125.59	123.98	124.91																																																
SmD2	3R	2170721	2171642	mat	1.049139076	167.15	147.83	179.52	228.88	215.15	255.48	201.87	205.86	204.46	189.98	227.59	177.04	153.19	139.93	179.09	193.89	206.74	209.84	214.53	202.13	211.27	219.06	195.45	228.93																																																
SmD3	2R	8056230	8057514	mat	0.965222847	168.83	192.95	159.57	196.27	129.08	131.34	216.09	127.27	192.47	142.45	178.04	150.28	148.51	242.15	165.31	137.02	169.55	158.15	173.22	135.58	193.67	152.8	215.1	202.63																																																
SmE	2L	7884931	7885425	mat	1.018829629	323.73	350.17	330.2	412.76	347.23	446.13	362.72	349.79	348.96	361.47	310.4	269.33	327.39	265	349.21	351.65	367.43	356.16	402.36	382.71	341.19	337.54	303.87	308.99																																																
SmF	2R	8071348	8071778	mat	0.995910087	190.85	214.44	178.45	264.69	235.27	304.16	253.85	217.55	244.86	203.11	230.99	229.05	152.6	176.09	209.04	194.28	223.05	247.38	290.67	241.15	279.55	199.14	246.69	258.79																																																
SmG	X	16533892	16534447	mat	0.947387074	216.18	225.52	191.84	232.73	211.57	351.58	258.79	246.74	260.13	248.39	244.41	194.72	231.29	202.09	231.09	220.37	252.86	248.15	280.04	233.74	265.12	274.88	252.53	221.82																																																
smg	3L	8983636	8991089	mat	0.903303991	859.63	767.65	1049.91	549.22	468.71	194.15	134.52	222.94	12.37	36.4	10.57	17.74	957.15	936.05	802.34	886.69	428.7	342.49	76.08	286.94	9.36	29.84	9.46	6.46	858.32	767.22	1049.05	548.27	468	193.93	134.29	222.34	8.75	33.52	7.08	13.93	955.57	935.05	800.99	886.35	428.51	341.83	75.7	286.25	7.41	27.17	7.55	4.47	1.31	0.43	0.86	0.95	0.71	0.22	0.23	0.6	3.62	2.88	3.49	3.81	1.58	1	1.35	0.34	0.19	0.66	0.38	0.69	1.95	2.67	1.91	1.99
Smg1	X	6718670	6732283	mat	0.862801468	8	5.83	8.92	4.22	7.54	4.12	3.87	11.5	9.27	14.13	9.42	16.49	10.06	10.58	8.52	9.45	4.7	7.01	3.68	8.89	7.45	8.83	6.03	6.88	8	5.83	8.92	4.22	7.48	4.12	3.82	11.02	5.6	11.54	7.09	16.49	10.06	10.43	8.47	9.45	4.66	7.01	3.68	8.89	7.45	8.83	6.03	6.88	0	0	0	0	0.06	0	0.05	0.48	3.67	2.59	2.33	0	0	0.15	0.05	0	0.04	0	0	0	0	0	0	0
Smg5	2L	13899352	13904659	matzyg	1.094839244	19.57	15.01	23.75	15.44	29.82	26.21	28.02	68.25	106.26	150.35	134.86	160.17	18.75	18.68	19.21	22.77	28.9	34.23	38.98	56.96	112.21	118.11	97.14	78.13	19.57	15.01	23.75	12.91	24.02	20.97	17.35	48.46	56.44	84.49	85.08	87.34	18.75	18.68	19.21	19.92	23.72	26.36	23.84	38.54	62.3	67.23	40.02	46.12	0	0	0	2.53	5.8	5.24	10.67	19.79	49.82	65.86	49.78	72.83	0	0	0	2.85	5.18	7.87	15.14	18.42	49.91	50.88	57.12	32.01
